#学号 平时 期末 总分 班级 学期
2130516006 75 13 32 21工程管理 22秋
2130516007 92 67 75 21工程管理 22秋
2130516008 80 65 70 21工程管理 22秋
2130516009 90 70 76 21工程管理 22秋
2130516010 62 81 75 21工程管理 22秋
2130516011 71 55 60 21工程管理 22秋
2130516012 75 54 60 21工程管理 22秋
2130516013 90 72 77 21工程管理 22秋
2130516014 78 79 79 21工程管理 22秋
2130516015 78 84 82 21工程管理 22秋
2130516016 66 66 66 21工程管理 22秋
2130516017 70 66 67 21工程管理 22秋
2130516018 80 79 79 21工程管理 22秋
2130516019 80 68 72 21工程管理 22秋
2130516020 73 67 69 21工程管理 22秋
2130516021 71 66 68 21工程管理 22秋
2130516022 74 68 70 21工程管理 22秋
2130516023 77 79 78 21工程管理 22秋
2130516024 91 80 83 21工程管理 22秋
2130516025 70 75 74 21工程管理 22秋
2130516026 88 50 61 21工程管理 22秋
2130516029 85 74 77 21工程管理 22秋
2130516030 65 84 78 21工程管理 22秋
2130516031 60 80 74 21工程管理 22秋
2130516032 74 68 70 21工程管理 22秋
2130516033 81 70 73 21工程管理 22秋
2130516034 75 59 64 21工程管理 22秋
2130516035 78 64 68 21工程管理 22秋
2130516036 83 65 70 21工程管理 22秋
2130516037 77 74 75 21工程管理 22秋
2130516038 75 77 76 21工程管理 22秋
2130516039 88 63 71 21工程管理 22秋
2130516040 60 60 60 21工程管理 22秋
2130516041 82 80 81 21工程管理 22秋
2130516042 66 82 77 21工程管理 22秋
2130516043 79 86 84 21工程管理 22秋
2130516044 76 85 82 21工程管理 22秋
2130619001 90 88 89 21机械1 22秋
2130619002 87 66 72 21机械1 22秋
2130619003 93 76 81 21机械1 22秋
2130619004 87 71 76 21机械1 22秋
2130619005 95 83 87 21机械1 22秋
2130619006 89 80 83 21机械1 22秋
2130619007 75 69 71 21机械1 22秋
2130619008 95 83 87 21机械1 22秋
2130619009 90 76 80 21机械1 22秋
2130619010 82 66 71 21机械1 22秋
2130619011 92 80 84 21机械1 22秋
2130619012 94 73 79 21机械1 22秋
2130619013 91 87 88 21机械1 22秋
2130619014 100 78 85 21机械1 22秋
2130619015 92 53 65 21机械1 22秋
2130619016 89 19 40 21机械1 22秋
2130619017 88 68 74 21机械1 22秋
